2025-01-07 at 17:09:04 | INFO | Loaded model from /root/code/MRIclass/results/007-ViT3D-S-8/checkpoints/0005000.pt
2025-01-07 at 17:09:12 | INFO | Dataset contains 383.
2025-01-07 at 17:09:23 | INFO | item: 1, logits: tensor([[ 0.1488, -0.9889]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:23 | INFO | item: 2, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:24 | INFO | item: 3, logits: tensor([[ 0.1488, -0.9889]], device='cuda:0'), Labels: tensor([1], device='cuda:0')
2025-01-07 at 17:09:24 | INFO | item: 4, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:25 | INFO | item: 5, logits: tensor([[ 0.1489, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:26 | INFO | item: 6, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:26 | INFO | item: 7, logits: tensor([[ 0.1488, -0.9886]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:26 | INFO | item: 8, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:32 | INFO | item: 9, logits: tensor([[ 0.1487, -0.9887]], device='cuda:0'), Labels: tensor([1], device='cuda:0')
2025-01-07 at 17:09:33 | INFO | item: 10, logits: tensor([[ 0.1495, -0.9894]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:33 | INFO | item: 11, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:33 | INFO | item: 12, logits: tensor([[ 0.1488, -0.9895]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:39 | INFO | item: 13, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:39 | INFO | item: 14, logits: tensor([[ 0.1489, -0.9887]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:39 | INFO | item: 15, logits: tensor([[ 0.1489, -0.9889]], device='cuda:0'), Labels: tensor([1], device='cuda:0')
2025-01-07 at 17:09:41 | INFO | item: 16, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:47 | INFO | item: 17, logits: tensor([[ 0.1487, -0.9888]], device='cuda:0'), Labels: tensor([1], device='cuda:0')
2025-01-07 at 17:09:47 | INFO | item: 18, logits: tensor([[ 0.1489, -0.9890]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:47 | INFO | item: 19, logits: tensor([[ 0.1488, -0.9884]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:49 | INFO | item: 20, logits: tensor([[ 0.1486, -0.9888]], device='cuda:0'), Labels: tensor([1], device='cuda:0')
2025-01-07 at 17:09:53 | INFO | item: 21, logits: tensor([[ 0.1489, -0.9894]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:54 | INFO | item: 22, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:54 | INFO | item: 23, logits: tensor([[ 0.1489, -0.9889]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:09:55 | INFO | item: 24, logits: tensor([[ 0.1487, -0.9888]], device='cuda:0'), Labels: tensor([1], device='cuda:0')
2025-01-07 at 17:09:58 | INFO | item: 25, logits: tensor([[ 0.1487, -0.9890]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:10:00 | INFO | item: 26, logits: tensor([[ 0.1488, -0.9889]], device='cuda:0'), Labels: tensor([1], device='cuda:0')
2025-01-07 at 17:10:00 | INFO | item: 27, logits: tensor([[ 0.1488, -0.9889]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:10:01 | INFO | item: 28, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:10:03 | INFO | item: 29, logits: tensor([[ 0.1488, -0.9889]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:10:09 | INFO | Done!
2025-01-07 at 17:10:51 | INFO | Loaded model from /root/code/MRIclass/results/007-ViT3D-S-8/checkpoints/0005000.pt
2025-01-07 at 17:10:57 | INFO | Dataset contains 383.
2025-01-07 at 17:11:02 | INFO | item: 1, logits: tensor([[ 0.1488, -0.9889]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:02 | INFO | item: 2, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:03 | INFO | item: 3, logits: tensor([[ 0.1488, -0.9889]], device='cuda:0'), Labels: tensor([1], device='cuda:0')
2025-01-07 at 17:11:03 | INFO | item: 4, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:03 | INFO | item: 5, logits: tensor([[ 0.1489, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:03 | INFO | item: 6, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:03 | INFO | item: 7, logits: tensor([[ 0.1488, -0.9886]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:03 | INFO | item: 8, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:04 | INFO | item: 9, logits: tensor([[ 0.1487, -0.9887]], device='cuda:0'), Labels: tensor([1], device='cuda:0')
2025-01-07 at 17:11:04 | INFO | item: 10, logits: tensor([[ 0.1495, -0.9894]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:04 | INFO | item: 11, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:04 | INFO | item: 12, logits: tensor([[ 0.1488, -0.9895]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:05 | INFO | item: 13, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:05 | INFO | item: 14, logits: tensor([[ 0.1489, -0.9887]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
2025-01-07 at 17:11:05 | INFO | item: 15, logits: tensor([[ 0.1489, -0.9889]], device='cuda:0'), Labels: tensor([1], device='cuda:0')
2025-01-07 at 17:11:05 | INFO | item: 16, logits: tensor([[ 0.1488, -0.9888]], device='cuda:0'), Labels: tensor([0], device='cuda:0')
